pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
123.46,-115.57,0.0,top,R14,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
125.999532,-125.459747,180.0,top,R15,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
116.8908,-120.7516,0.0,top,R16,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
117.745,-123.825,0.0,top,R17,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22.1k,smt
117.745,-126.14,0.0,top,R18,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,47.5k,smt
121.6758,-106.1425,180.0,top,R19,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
108.855,-81.915,0.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
121.6758,-103.1925,180.0,top,R20,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
121.6758,-100.2425,180.0,top,R21,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4.7k,smt
105.41,-102.35,0.0,top,R22,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,200m,smt
136.29347,-104.492629,0.0,top,R23,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,200m,smt
109.49,-109.855,0.0,top,R24,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
109.447563,-112.042073,180.0,top,R25,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
109.440193,-114.354449,180.0,top,R26,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
141.795413,-120.974716,180.0,top,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100k,smt
141.795413,-115.864716,0.0,top,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,470R,smt
108.825,-125.095,180.0,top,R5,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3.3k,smt
105.015,-122.555,180.0,top,R6,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1.3k,smt
105.015,-120.015,180.0,top,R7,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1.3k,smt
102.235,-85.09,0.0,top,R8,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100k,smt
102.235,-88.04,180.0,top,R9,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100k,smt
131.85,-134.27,-90.0,top,SW1,,,Slide_DPDT_SMD_7.2x3.5mm,SW_DPDT_x2,tht
121.075,-87.015,0.0,top,U1,,,ESP32-WROOM-32,ESP32-WROOM-32,smt
133.985,-114.3,0.0,top,U2,,,SOT-23-5,MIC5219-3.3YM5,smt
98.46,-123.19,0.0,top,U3,,,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,TP4056-42-ESOP8,smt
123.42,-120.74,90.0,top,U4,,,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,CP2102N-Axx-xQFN28,smt
112.7252,-121.412,0.0,top,U5,,,SOT_363_DIO,DDC114TU-7-F,smt
115.4811,-103.505,180.0,top,U6,,,QFN24_4X4X0P9-0P5_TDK,MPU-6050,smt
98.425,-105.785,-90.0,top,U7,,,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,DRV8833PWP,smt
141.025,-105.41,-90.0,top,U8,,,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,DRV8833PWP,smt
116.205,-111.76,0.0,top,U9,,,SSOP-20_4.4x6.5mm_P0.65mm,PCF8574ATS,smt
