pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
103.825,-79.375,180.0,top,C1,,,C_0805_2012Metric,10uF,smt
131.445,-126.2,0.0,top,C10,,,C_0805_2012Metric,10uF,smt
109.6108,-106.5875,180.0,top,C11,,,C_0805_2012Metric,0.1uF,smt
109.6108,-103.5775,180.0,top,C12,,,C_0805_2012Metric,10uF,smt
109.6108,-100.5675,180.0,top,C13,,,C_0805_2012Metric,0.1uF,smt
105.41,-109.855,180.0,top,C14,,,C_0805_2012Metric,0.01uF,smt
105.41,-104.775,180.0,top,C15,,,C_0805_2012Metric,10uF,smt
105.41,-107.315,180.0,top,C16,,,C_0805_2012Metric,2.2uF,smt
136.2964,-106.68,0.0,top,C17,,,C_0805_2012Metric,0.01uF,smt
138.018608,-113.300607,0.0,top,C18,,,C_0805_2012Metric,2.2uF,smt
136.379243,-102.235,0.0,top,C19,,,C_0805_2012Metric,10uF,smt
103.825,-81.915,180.0,top,C2,,,C_0805_2012Metric,1uF,smt
131.445,-128.27,0.0,top,C20,,,C_0805_2012Metric,1uF,smt
108.9,-79.375,180.0,top,C3,,,C_0805_2012Metric,0.1uF,smt
131.445,-121.285,180.0,top,C4,,,C_0805_2012Metric,10u,smt
138.035413,-115.894716,0.0,top,C5,,,C_0805_2012Metric,22uF,smt
138.035413,-120.974716,0.0,top,C6,,,C_0805_2012Metric,470pF,smt
138.035413,-118.434716,0.0,top,C7,,,C_0805_2012Metric,10uF,smt
105.065,-125.095,0.0,top,C8,,,C_0805_2012Metric,10uF,smt
131.445,-123.825,0.0,top,C9,,,C_0805_2012Metric,0.1uF,smt
138.8364,-126.6444,0.0,top,D1,,,D_SMC,SS34,smt
141.857913,-118.434716,0.0,top,D2,,,LED_0805_2012Metric,LED,smt
108.8875,-120.015,0.0,top,D3,,,LED_0805_2012Metric,LED,smt
108.8875,-122.555,0.0,top,D4,,,LED_0805_2012Metric,LED,smt
139.7,-79.375,180.0,top,D5,,,LED_0805_2012Metric,LED,smt
139.7,-81.915,180.0,top,D6,,,LED_0805_2012Metric,LED,smt
139.7,-84.455,180.0,top,D7,,,LED_0805_2012Metric,LED,smt
120.775,-133.3,0.0,top,J1,,,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,USB_C_Receptacle_USB2.0_16P,smt
105.185,-134.39,180.0,top,J2,,,JST_SMD_2.0mm-2,JST_2mm_LiPo,tht
136.1925,-95.535,180.0,top,J3,,,PinHeader_1x06_P2.00mm_Vertical,Conn_01x06_Socket,tht
106.045,-95.17,180.0,top,J4,,,PinHeader_1x06_P2.00mm_Vertical,Conn_01x06_Socket,tht
83.185,-70.485,-45.0,top,J5,,,PinHeader_1x02_P2.00mm_Vertical,Conn_01x02_Socket,tht
82.55,-145.415,-135.0,top,J6,,,PinHeader_1x02_P2.00mm_Vertical,Conn_01x02_Socket,tht
156.21,-145.415,135.0,top,J7,,,PinHeader_1x02_P2.00mm_Vertical,Conn_01x02_Socket,tht
156.21,-69.85,45.0,top,J8,,,PinHeader_1x02_P2.00mm_Vertical,Conn_01x02_Socket,tht
129.8448,-113.9952,90.0,top,Q1,,,SOT-23,AO3401A,smt
129.175,-99.695,0.0,top,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
137.43,-132.445,-90.0,top,R10,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100k,smt
143.5425,-79.375,0.0,top,R11,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
143.5425,-81.825,0.0,top,R12,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
143.4475,-84.275,0.0,top,R13,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
